01	1	3
02	1	3
03	1	3
05	1	3
07	1	1
08	6	3
12	1	3
15	6	3
16	5	3
19	4	1
19	4	2
19	4	3
19	4	4
19	4	5
20	1	1
20	2	1
21	1	2
23	1	1
24	1	1
24	2	1
25	5	1
26	5	1
27	1	1
27	2	1
28	1	3
30	1	1
30	2	1
31	1	2
35	1	1
35	2	1
36	1	1
36	2	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
42	2	1
43	1	1
44	1	3
45	5	3
46	1	3
47	1	1
50	1	3
52	1	1
54	1	1
55	5	1
59	1	3
60	5	3
65	1	1
65	2	1
68	1	1
69	1	1
70	1	5
71	1	1
71	2	1
72	1	1
72	2	1
73	1	1
74	5	3
75	1	1
76	1	3
77	6	3
79	1	3
80	1	3
81	1	3
82	1	3
83	1	3
84	1	3
85	1	3
86	1	4
86	3	4
88	1	4
89	1	4
89	3	4
93	6	3
95	1	3
96	1	1
99	7	1
99	7	2
FF	6	4
LI	5	1
LI	5	3
LT	6	4
OP	5	3
SB	5	1
SB	5	3
SL	5	1
SL	5	3
VH	6	4
